Name;Smiles;Inchi;CasRN;MeltingPoint;BoilingPoint;WaterSolubility_mg_mL;LogP;Ref;ppm_exp;n_peaks_exp;multiplicity_exp;n_Hs_exp;atom_number_exp;peak_centers_exp;ExperimentalConditions;ppm_pred;n_peaks_pred;multiplicity_pred;n_Hs_pred;atom_number_pred;peak_centers_pred;predCondition
Anteisopentadecanoyl-CoA;CCC(C)CCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N;InChI=1S/C36H64N7O17P3S/c1-5-24(2)14-12-10-8-6-7-9-11-13-15-27(45)64-19-18-38-26(44)16-17-39-34(48)31(47)36(3,4)21-57-63(54,55)60-62(52,53)56-20-25-30(59-61(49,50)51)29(46)35(58-25)43-23-42-28-32(37)40-22-41-33(28)43/h22-25,29-31,35,46-47H,5-21H2,1-4H3,(H,38,44)(H,39,48)(H,52,53)(H,54,55)(H2,37,40,41)(H2,49,50,51)/t24?,25-,29-,30-,31+,35-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100000;;;;;;;;[8.49, 8.14, 5.97, 4.37, 4.37, 4.25, 4.19, 3.85, 3.85, 3.49, 3.2, 3.2, 2.25, 2.25, 2.16, 1.59, 1.44, 1.4, 1.31, 1.28, 1.27, 0.97, 0.93, 0.92];[1, 1, 2, 8, 4, 8, 2, 1, 8, 6, 3, 3, 3, 3, 3, 18, 36, 6, 18, 8, 3, 1, 3, 2];['s', 's', 'd', 'ddd', 'dd', 'ddd', 'd', 's', 'ddd', 'dt', 't', 't', 't', 't', 't', 'm', 'm', 'td', 'm', 'm', 'm', 's', 't', 'd'];[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 14, 6, 3, 3];[[120], [123], [119], [126], [124], [116], [112, 113], [104], [117], [118], [96, 97], [101, 102], [99, 100], [92, 93], [94, 95], [90], [70], [74, 75], [91], [68, 69], [76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89], [106, 107, 108, 109, 110, 111], [65, 66, 67], [71, 72, 73]];[[8.49], [8.14], [5.97, 5.97], [4.39, 4.38, 4.38, 4.37, 4.37, 4.36, 4.36, 4.35], [4.38, 4.37, 4.37, 4.36], [4.27, 4.26, 4.26, 4.25, 4.25, 4.24, 4.24, 4.23], [4.2, 4.18], [3.85], [3.87, 3.86, 3.86, 3.85, 3.85, 3.84, 3.84, 3.83], [3.51, 3.5, 3.49, 3.49, 3.48, 3.47], [3.21, 3.2, 3.19], [3.21, 3.2, 3.19], [2.26, 2.25, 2.24], [2.26, 2.25, 2.24], [2.17, 2.16, 2.15], [1.63, 1.62, 1.6, 1.62, 1.6, 1.59, 1.6, 1.59, 1.58, 1.6, 1.59, 1.58, 1.59, 1.58, 1.56, 1.58, 1.56, 1.55], [1.48, 1.47, 1.46, 1.44, 1.47, 1.46, 1.45, 1.43, 1.46, 1.45, 1.43, 1.42, 1.47, 1.46, 1.45, 1.43, 1.46, 1.45, 1.43, 1.42, 1.45, 1.43, 1.42, 1.41, 1.46, 1.45, 1.43, 1.42, 1.45, 1.43, 1.42, 1.41, 1.44, 1.42, 1.41, 1.4], [1.42, 1.41, 1.41, 1.39, 1.39, 1.38], [1.35, 1.34, 1.32, 1.34, 1.32, 1.31, 1.32, 1.31, 1.3, 1.32, 1.31, 1.3, 1.31, 1.3, 1.28, 1.3, 1.28, 1.27], [1.31, 1.3, 1.29, 1.28, 1.28, 1.27, 1.26, 1.25], [1.28, 1.27, 1.26], [0.97], [0.94, 0.93, 0.92], [0.93, 0.91]];1H NMR Spectrum (1D, 500 MHz, D2O, predicted)
Anteisotridecanoyl-CoA;CCC(C)CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N;InChI=1S/C34H60N7O17P3S/c1-5-22(2)12-10-8-6-7-9-11-13-25(43)62-17-16-36-24(42)14-15-37-32(46)29(45)34(3,4)19-55-61(52,53)58-60(50,51)54-18-23-28(57-59(47,48)49)27(44)33(56-23)41-21-40-26-30(35)38-20-39-31(26)41/h20-23,27-29,33,44-45H,5-19H2,1-4H3,(H,36,42)(H,37,46)(H,50,51)(H,52,53)(H2,35,38,39)(H2,47,48,49)/t22?,23-,27-,28-,29+,33-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100001;;;;;;;;;;;;;;
TG(i-14:0/17:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C47H90O6/c1-6-7-8-9-10-11-12-13-14-15-16-23-29-34-39-47(50)53-44(41-52-46(49)38-33-28-24-19-21-26-31-36-43(4)5)40-51-45(48)37-32-27-22-18-17-20-25-30-35-42(2)3/h42-44H,6-41H2,1-5H3/t44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100002;;;;;;;;;;;;;;
TG(14:0/i-17:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCC(C)C;InChI=1S/C47H90O6/c1-6-8-9-10-11-12-14-18-21-27-32-37-45(48)51-40-44(41-52-46(49)38-33-28-24-23-26-31-36-43(5)7-2)53-47(50)39-34-29-22-19-16-13-15-17-20-25-30-35-42(3)4/h42-44H,6-41H2,1-5H3/t43?,44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100004;;;;;;;;;;;;;;
TG(14:0/i-17:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C;InChI=1S/C47H90O6/c1-6-7-8-9-10-11-13-17-22-27-32-37-45(48)51-40-44(41-52-46(49)38-33-28-24-19-21-26-31-36-43(4)5)53-47(50)39-34-29-23-18-15-12-14-16-20-25-30-35-42(2)3/h42-44H,6-41H2,1-5H3/t44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100005;;;;;;;;;;;;;;
TG(i-14:0/17:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C47H90O6/c1-6-8-9-10-11-12-13-14-15-16-17-22-29-34-39-47(50)53-44(41-52-46(49)38-33-28-24-23-26-31-36-43(5)7-2)40-51-45(48)37-32-27-21-19-18-20-25-30-35-42(3)4/h42-44H,6-41H2,1-5H3/t43?,44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100007;;;;;;;;;;;;;;
TG(i-14:0/i-17:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C;InChI=1S/C47H90O6/c1-41(2)33-27-21-15-10-8-7-9-11-19-26-32-38-47(50)53-44(40-52-46(49)37-31-25-20-14-17-23-29-35-43(5)6)39-51-45(48)36-30-24-18-13-12-16-22-28-34-42(3)4/h41-44H,7-40H2,1-6H3/t44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100008;;;;;;;;;;;;;;
TG(14:0/17:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C47H90O6/c1-5-7-9-11-13-15-17-18-19-21-23-27-32-36-40-47(50)53-44(42-52-46(49)39-35-31-28-24-25-29-33-37-43(3)4)41-51-45(48)38-34-30-26-22-20-16-14-12-10-8-6-2/h43-44H,5-42H2,1-4H3/t44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100011;;;;;;;;;;;;;;
TG(14:0/17:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C47H90O6/c1-5-8-10-12-14-16-18-19-20-22-24-26-32-36-40-47(50)53-44(42-52-46(49)39-35-31-28-27-29-33-37-43(4)7-3)41-51-45(48)38-34-30-25-23-21-17-15-13-11-9-6-2/h43-44H,5-42H2,1-4H3/t43?,44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100012;;;;;;;;;;;;;;
TG(i-14:0/a-17:0/14:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C48H92O6/c1-6-8-9-10-11-12-13-17-23-28-33-38-46(49)52-41-45(42-53-47(50)39-34-29-24-20-19-21-26-31-36-43(3)4)54-48(51)40-35-30-25-18-15-14-16-22-27-32-37-44(5)7-2/h43-45H,6-42H2,1-5H3/t44?,45-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100013;;;;;;;;;;;;;;
TG(14:0/a-17:0/i-14:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C48H92O6/c1-6-8-9-10-11-12-13-17-23-28-33-38-46(49)52-41-45(42-53-47(50)39-34-29-24-20-19-21-26-31-36-43(3)4)54-48(51)40-35-30-25-18-15-14-16-22-27-32-37-44(5)7-2/h43-45H,6-42H2,1-5H3/t44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100014;;;;;;;;;;;;;;
