Name;Smiles;Inchi;CasRN;MeltingPoint;BoilingPoint;WaterSolubility_mg_mL;LogP;Ref;ppm_exp;n_peaks_exp;multiplicity_exp;n_Hs_exp;atom_number_exp;peak_centers_exp;ExperimentalConditions;ppm_pred;n_peaks_pred;multiplicity_pred;n_Hs_pred;atom_number_pred;peak_centers_pred;predCondition
TG(i-16:0/13:0/8:0);[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC;InChI=1S/C40H76O6/c1-5-7-9-11-12-13-17-21-25-29-33-40(43)46-37(34-44-38(41)31-27-22-10-8-6-2)35-45-39(42)32-28-24-20-18-15-14-16-19-23-26-30-36(3)4/h36-37H,5-35H2,1-4H3/t37-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103716;;;;;;;;;;;;;;
TG(16:0/13:0/8:0);[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC;InChI=1S/C40H76O6/c1-4-7-10-13-15-17-19-20-21-23-24-27-30-33-39(42)45-36-37(35-44-38(41)32-29-26-12-9-6-3)46-40(43)34-31-28-25-22-18-16-14-11-8-5-2/h37H,4-36H2,1-3H3/t37-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103717;;;;;;;;;;;;;;
TG(16:0/a-13:0/10:0)[rac];[H][C@@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C42H80O6/c1-5-8-10-12-14-15-16-17-18-19-21-26-30-34-41(44)47-37-39(36-46-40(43)33-29-25-20-13-11-9-6-2)48-42(45)35-31-27-23-22-24-28-32-38(4)7-3/h38-39H,5-37H2,1-4H3/t38?,39-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103718;;;;;;;;;;;;;;
TG(i-16:0/a-13:0/10:0)[rac];[H][C@@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C42H80O6/c1-6-8-9-10-15-22-27-32-40(43)46-35-39(48-42(45)34-29-24-19-18-21-26-31-38(5)7-2)36-47-41(44)33-28-23-17-14-12-11-13-16-20-25-30-37(3)4/h37-39H,6-36H2,1-5H3/t38?,39-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103719;;;;;;;;;;;;;;
TG(16:0/i-13:0/10:0);[H][C@@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C42H80O6/c1-5-7-9-11-13-14-15-16-17-18-22-26-30-34-41(44)47-37-39(36-46-40(43)33-29-25-20-12-10-8-6-2)48-42(45)35-31-27-23-19-21-24-28-32-38(3)4/h38-39H,5-37H2,1-4H3/t39-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103720;;;;;;;;;;;;;;
TG(i-16:0/i-13:0/10:0);[H][C@@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C42H80O6/c1-6-7-8-9-15-22-27-32-40(43)46-35-39(48-42(45)34-29-24-19-14-17-21-26-31-38(4)5)36-47-41(44)33-28-23-18-13-11-10-12-16-20-25-30-37(2)3/h37-39H,6-36H2,1-5H3/t39-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103721;;;;;;;;;;;;;;
TG(i-16:0/13:0/10:0);[H][C@@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC;InChI=1S/C42H80O6/c1-5-7-9-11-13-14-18-23-27-31-35-42(45)48-39(36-46-40(43)33-29-25-20-12-10-8-6-2)37-47-41(44)34-30-26-22-19-16-15-17-21-24-28-32-38(3)4/h38-39H,5-37H2,1-4H3/t39-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103722;;;;;;;;;;;;;;
TG(16:0/13:0/10:0);[H][C@@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC;InChI=1S/C42H80O6/c1-4-7-10-13-16-18-20-21-22-24-26-29-32-35-41(44)47-38-39(37-46-40(43)34-31-28-25-15-12-9-6-3)48-42(45)36-33-30-27-23-19-17-14-11-8-5-2/h39H,4-38H2,1-3H3/t39-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103723;;;;;;;;;;;;;;
TG(i-16:0/a-13:0/i-12:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C44H84O6/c1-7-40(6)32-26-20-15-17-23-29-35-44(47)50-41(37-49-43(46)34-28-22-16-14-19-25-31-39(4)5)36-48-42(45)33-27-21-13-11-9-8-10-12-18-24-30-38(2)3/h38-41H,7-37H2,1-6H3/t40?,41-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103724;;;;;;;;;;;;;;
TG(16:0/a-13:0/12:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C44H84O6/c1-5-8-10-12-14-16-17-18-19-21-23-28-32-36-43(46)49-39-41(38-48-42(45)35-31-27-22-20-15-13-11-9-6-2)50-44(47)37-33-29-25-24-26-30-34-40(4)7-3/h40-41H,5-39H2,1-4H3/t40?,41-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103725;;;;;;;;;;;;;;
TG(i-16:0/a-13:0/12:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C44H84O6/c1-6-8-9-10-11-14-18-24-29-34-42(45)48-37-41(50-44(47)36-31-26-21-20-23-28-33-40(5)7-2)38-49-43(46)35-30-25-19-16-13-12-15-17-22-27-32-39(3)4/h39-41H,6-38H2,1-5H3/t40?,41-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103726;;;;;;;;;;;;;;
TG(16:0/a-13:0/i-12:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C44H84O6/c1-6-8-9-10-11-12-13-14-15-16-17-24-29-34-42(45)48-37-41(38-49-43(46)35-30-25-20-18-22-27-32-39(3)4)50-44(47)36-31-26-21-19-23-28-33-40(5)7-2/h39-41H,6-38H2,1-5H3/t40?,41-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103727;;;;;;;;;;;;;;
TG(16:0/i-13:0/12:0);[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C44H84O6/c1-5-7-9-11-13-15-16-17-18-20-24-28-32-36-43(46)49-39-41(38-48-42(45)35-31-27-23-19-14-12-10-8-6-2)50-44(47)37-33-29-25-21-22-26-30-34-40(3)4/h40-41H,5-39H2,1-4H3/t41-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103728;;;;;;;;;;;;;;
TG(16:0/i-13:0/i-12:0);[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C44H84O6/c1-6-7-8-9-10-11-12-13-14-15-18-24-29-34-42(45)48-37-41(38-49-43(46)35-30-25-21-20-23-28-33-40(4)5)50-44(47)36-31-26-19-16-17-22-27-32-39(2)3/h39-41H,6-38H2,1-5H3/t41-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103730;;;;;;;;;;;;;;
TG(i-16:0/i-13:0/12:0);[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C44H84O6/c1-6-7-8-9-10-13-19-24-29-34-42(45)48-37-41(50-44(47)36-31-26-21-16-18-23-28-33-40(4)5)38-49-43(46)35-30-25-20-15-12-11-14-17-22-27-32-39(2)3/h39-41H,6-38H2,1-5H3/t41-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103731;;;;;;;;;;;;;;
TG(i-16:0/i-13:0/i-12:0);[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C44H84O6/c1-38(2)30-24-18-12-9-7-8-10-14-21-27-33-42(45)48-36-41(37-49-43(46)34-28-22-17-16-20-26-32-40(5)6)50-44(47)35-29-23-15-11-13-19-25-31-39(3)4/h38-41H,7-37H2,1-6H3/t41-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103732;;;;;;;;;;;;;;
TG(i-16:0/13:0/12:0);[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC;InChI=1S/C44H84O6/c1-5-7-9-11-13-15-20-25-29-33-37-44(47)50-41(38-48-42(45)35-31-27-23-18-14-12-10-8-6-2)39-49-43(46)36-32-28-24-21-17-16-19-22-26-30-34-40(3)4/h40-41H,5-39H2,1-4H3/t41-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103733;;;;;;;;;;;;;;
TG(16:0/13:0/12:0);[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC;InChI=1S/C44H84O6/c1-4-7-10-13-16-19-21-22-23-26-28-31-34-37-43(46)49-40-41(39-48-42(45)36-33-30-27-24-18-15-12-9-6-3)50-44(47)38-35-32-29-25-20-17-14-11-8-5-2/h41H,4-40H2,1-3H3/t41-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103734;;;;;;;;;;;;;;
TG(16:0/13:0/i-12:0);[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC;InChI=1S/C44H84O6/c1-5-7-9-11-13-15-17-18-19-21-22-27-31-35-42(45)48-38-41(39-49-43(46)36-32-28-25-24-26-30-34-40(3)4)50-44(47)37-33-29-23-20-16-14-12-10-8-6-2/h40-41H,5-39H2,1-4H3/t41-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103735;;;;;;;;;;;;;;
TG(16:0/a-13:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C45H86O6/c1-6-9-10-11-12-13-14-15-16-17-18-25-30-35-43(46)49-38-42(51-45(48)37-32-27-22-20-24-29-34-41(5)8-3)39-50-44(47)36-31-26-21-19-23-28-33-40(4)7-2/h40-42H,6-39H2,1-5H3/t40?,41?,42-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103736;;;;;;;;;;;;;;
TG(i-16:0/a-13:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C45H86O6/c1-7-40(5)32-26-20-15-17-23-29-35-44(47)50-38-42(51-45(48)36-30-24-18-16-21-27-33-41(6)8-2)37-49-43(46)34-28-22-14-12-10-9-11-13-19-25-31-39(3)4/h39-42H,7-38H2,1-6H3/t40?,41?,42-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103737;;;;;;;;;;;;;;
